0 17,7444081735354
1 17,7353858302892
2 17,7262598258636
3 17,717028649702
4 17,7076907823529
5 17,6982446954776
6 17,6886888518568
7 17,6790217053989
8 17,6692417011476
9 17,6593472752901
10 17,649336855166
11 17,6392088592756
12 17,6289616972893
13 17,6185937700571
14 17,6081034696179
15 17,5974891792101
16 17,5867492732813
17 17,5758821174997
18 17,5648860687641
19 17,5537594752161
20 17,5425006762511
21 17,5311080025303
22 17,5195797759932
23 17,50791430987
24 17,4961099086944
25 17,484164868317
26 17,4720774759189
27 17,4598460100254
28 17,4474687405205
29 17,4349439286614
30 17,4222698270934
31 17,4094446798654
32 17,3964667224454
33 17,3833341817366
34 17,3700452760937
35 17,3565982153398
36 17,3429912007834
37 17,3292224252361
38 17,31529007303
39 17,3011923200365
40 17,2869273336847
41 17,2724932729803
42 17,2578882885252
43 17,2431105225369
44 17,2281581088694
45 17,2130291730331
46 17,1977218322159
47 17,182234195305
48 17,1665643629081
49 17,150710427376
50 17,1346704728251
51 17,1184425751603
52 17,1020248020985
53 17,0854152131927
54 17,0686118598558
55 17,0516127853856
56 17,0344160249901
57 17,0170196058128
58 16,9994215469585
59 16,9816198595205
60 16,9636125466066
61 16,945397603367
62 16,9269730170222
63 16,9083367668905
64 16,8894868244175
65 16,8704211532048
66 16,8511377090398
67 16,8316344399255
68 16,8119092861115
69 16,7919601801247
70 16,7717850468007
71 16,7513818033162
72 16,7307483592208
73 16,7098826164707
74 16,6887824694614
75 16,667445805062
76 16,6458705026497
77 16,6240544341443
78 16,601995464044
79 16,579691449461
80 16,557140240158
81 16,5343396785852
82 16,5112875999177
83 16,4879818320933
84 16,464420195851
85 16,4406005047703
86 16,4165205653102
87 16,3921781768494
88 16,3675711317272
89 16,3426972152842
90 16,3175542059039
91 16,2921398750551
92 16,2664519873346
93 16,2404883005105
94 16,2142465655656
95 16,1877245267421
96 16,1609199215868
97 16,1338304809958
98 16,1064539292612
99 16,0787879841176
100 16,0508303567887
101 16,0225787520359
102 15,994030868206
103 15,9651843972802
104 15,9360370249236
105 15,9065864305353
106 15,8768302872991
107 15,8467662622344
108 15,8163920162484
109 15,7857052041881
110 15,7547034748936
111 15,7233844712516
112 15,6917458302496
113 15,6597851830307
114 15,627500154949
115 15,5948883656256
116 15,5619474290054
117 15,528674953414
118 15,4950685416161
119 15,4611257908734
120 15,4268442930041
121 15,3922216344427
122 15,3572553963002
123 15,3219431544249
124 15,2862824794646
125 15,2502709369286
126 15,2139060872503
127 15,1771854858515
128 15,1401066832058
129 15,1026672249043
130 15,0648646517204
131 15,0266964996764
132 14,9881603001102
133 14,9492535797428
134 14,9099738607464
135 14,8703186608135
136 14,830285493226
137 14,7898718669256
138 14,7490752865844
139 14,7078932526769
140 14,6663232615516
141 14,6243628055043
142 14,5820093728513
143 14,539260448004
144 14,4961135115434
145 14,4525660402963
146 14,4086155074108
147 14,3642593824341
148 14,3194951313896
149 14,2743202168556
150 14,2287320980443
151 14,1827282308817
152 14,1363060680878
153 14,0894630592582
154 14,0421966509457
155 13,9945042867432
156 13,9463834073667
157 13,8978314507397
158 13,8488458520778
159 13,7994240439742
160 13,7495634564861
161 13,6992615172212
162 13,648515651426
163 13,5973232820735
164 13,545681829953
165 13,4935887137594
166 13,4410413501842
167 13,3880371540065
168 13,3345735381852
169 13,280647913952
170 13,2262576909046
171 13,1714002771011
172 13,1160730791551
173 13,0602735023314
174 13,0039989506426
175 12,9472468269463
176 12,890014533043
177 12,832299469775
178 12,7740990371261
179 12,7154106343214
180 12,6562316599287
181 12,5965595119601
182 12,5363915879749
183 12,4757252851822
