0 10
1 9,95317034941312
2 9,90622874883499
3 9,85917506287123
4 9,81200915520529
5 9,76473088861741
6 9,71734012500344
7 9,66983672539362
8 9,62222054997106
9 9,57449145809019
10 9,52664930829508
11 9,4786939583376
12 9,43062526519544
13 9,38244308509002
14 9,3341472735043
15 9,28573768520039
16 9,23721417423712
17 9,18857659398743
18 9,13982479715567
19 9,09095863579476
20 9,04197796132329
21 8,99288262454238
22 8,94367247565259
23 8,89434736427054
24 8,84490713944561
25 8,79535164967636
26 8,74568074292692
27 8,69589426664329
28 8,64599206776948
29 8,5959739927636
30 8,54583988761376
31 8,49558959785403
32 8,44522296858006
33 8,39473984446486
34 8,34414006977427
35 8,29342348838246
36 8,24258994378728
37 8,19163927912551
38 8,14057133718807
39 8,08938596043507
40 8,03808299101077
41 7,98666227075856
42 7,93512364123566
43 7,88346694372793
44 7,83169201926443
45 7,779798708632
46 7,72778685238969
47 7,67565629088317
48 7,62340686425897
49 7,57103841247872
50 7,51855077533322
51 7,46594379245658
52 7,41321730334006
53 7,36037114734604
54 7,30740516372177
55 7,25431919161313
56 7,20111307007823
57 7,14778663810106
58 7,09433973460491
59 7,04077219846581
60 6,98708386852592
61 6,93327458360674
62 6,87934418252238
63 6,82529250409263
64 6,77111938715608
65 6,71682467058305
66 6,66240819328858
67 6,6078697942452
68 6,55320931249582
69 6,49842658716635
70 6,44352145747843
71 6,38849376276194
72 6,33334334246761
73 6,2780700361794
74 6,22267368362694
75 6,16715412469783
76 6,11151119944995
77 6,05574474812362
78 5,99985461115375
79 5,94384062918195
80 5,88770264306855
81 5,83144049390449
82 5,77505402302338
83 5,71854307201316
84 5,66190748272802
85 5,60514709730006
86 5,548261758151
87 5,4912513080038
88 5,43411558989412
89 5,37685444718199
90 5,31946772356311
91 5,26195526308034
92 5,20431691013495
93 5,14655250949799
94 5,08866190632147
95 5,03064494614954
96 4,97250147492964
97 4,91423133902355
98 4,85583438521839
99 4,79731046073766
100 4,73865941325207
101 4,67988109089048
102 4,62097534225067
103 4,5619420164101
104 4,50278096293669
105 4,44349203189939
106 4,38407507387889
107 4,32452993997812
108 4,26485648183283
109 4,20505455162199
110 4,14512400207829
111 4,08506468649845
112 4,02487645875361
113 3,96455917329955
114 3,90411268518698
115 3,84353685007169
116 3,7828315242247
117 3,7219965645424
118 3,66103182855654
119 3,59993717444424
120 3,53871246103801
